Sibylline Oracles: Historical Development and Legends,,,,,
**Date/Period,Location/Tradition,Sibyl/Oracle,Key Details,Primary Sources,Historical Significance/Notes**
c. 1400 BCE - 1200 BCE,Anatolia/Troy,Trojan Sibyl (Marpessa),"Earliest attested prophetic figure later classified as Sibyl, associated with Apollo's temple.",Fragments in later texts,Possible historical origin of Sibylline tradition
c. 1200 BCE - 800 BCE,Erythrae (Ionia),Erythraean Sibyl (Herophile),"Claimed to be oldest of Sibyls, prophesied Trojan War; later claimed to be mother or daughter of Trojan Sibyl.","Fragments, references in Pausanias","Often considered most authoritative Sibyl, claimed authorship of many oracles"
c. 900 BCE - 700 BCE,Samos,Samian Sibyl,"Associated with temple of Hera, considered among earliest Greek oracular figures.","References in Pausanias, Eusebius",Connected to early Greek colonization narratives
c. 800 BCE - 600 BCE,Delphi,Delphic Sibyl (Pythia),Often confused with Pythia priestess; represented older oracular tradition predating Apollo at Delphi.,"Plutarch, Pausanias",Represents transition between chthonic and Apollonian oracular traditions
c. 800 BCE - 500 BCE,Cumae (Italy),Cumaean Sibyl (Amalthea),"Most famous Roman Sibyl, sold prophetic books to Tarquinius Superbus, guided Aeneas to underworld.","Virgil's Aeneid, Livy",Central to Roman religious imagination and foundation myths
c. 700 BCE - 500 BCE,Marpessus/Hellespont,Hellespontine Sibyl,"Associated with Apollo's temple near Troy, sometimes identified with Trojan Sibyl.",References in Heraclides of Pontus,Connected to Anatolian oracular traditions
c. 600 BCE - 400 BCE,Libya,Libyan Sibyl,"Daughter of Zeus and Lamia, brought prophecies from North Africa to Delphi.","References in Euripides, Pausanias",Represents Greek conception of African prophetic traditions
c. 600 BCE - 300 BCE,Cimmeria,Cimmerian Sibyl,Associated with underworld oracle at Lake Avernus near Cumae.,"References in Varro, Lactantius","Often confused with Cumaean Sibyl, associated with death prophecies"
c. 500 BCE,Rome,Acquisition of Sibylline Books,Legend of Tarquinius Superbus purchasing 3 of 9 prophetic books from Cumaean Sibyl after she burned the others.,"Livy, Dionysius of Halicarnassus",Foundation of Roman state oracle system
