Parables and Stories in the Quran,,,,,,,,
Title,Surah (Chapter),Verse Numbers,Main Figures,Description,,,,
The Story of Adam,"2, 7, 15, 17, 18, 20, 38","2:30-39, 7:11-25, 15:26-44, 17:61-65, 18:50, 20:115-124, 38:71-85","Adam, Hawwa (Eve), Iblis (Satan), Angels","The creation of Adam from clay, his elevation above angels, Iblis's refusal to prostrate, temptation in Paradise, and the fall to Earth.",,,,
The Parable of the Garden,68.0,68:17-33,Unnamed owners of garden,Owners of a garden planned to harvest without sharing with the poor; their garden was destroyed overnight. A parable about greed and charity.,,,,
The People of the Cave (Seven Sleepers),18.0,18:9-26,Young believers,Young men flee persecution for their faith and take refuge in a cave where Allah causes them to sleep for 309 years.,,,,
The Story of Noah,"7, 10, 11, 23, 26, 29, 37, 54, 71","7:59-64, 10:71-73, 11:25-49, 23:23-30, 26:105-122, 29:14-15, 37:75-82, 54:9-15, 71:1-28","Noah, his people","Noah preaches to his people for 950 years, they reject him, Allah commands him to build an ark, the flood comes, and believers are saved.",,,,
The People of 'Ad and Prophet Hud,"7, 11, 26, 41, 46, 54","7:65-72, 11:50-60, 26:123-140, 41:15-16, 46:21-26, 54:18-21","Hud, people of 'Ad","The people of 'Ad were powerful but arrogant. Prophet Hud called them to Allah, but they rejected him and were destroyed by a violent wind.",,,,
The People of Thamud and Prophet Salih,"7, 11, 26, 27, 54","7:73-79, 11:61-68, 26:141-159, 27:45-53, 54:23-31","Salih, people of Thamud",Salih was sent to Thamud who demanded a miracle; a she-camel emerged from rock but they killed it and were destroyed by an earthquake/thunderbolt.,,,,
The Story of Abraham,"2, 6, 11, 14, 15, 16, 19, 21, 26, 29, 37, 51, 60",Multiple verses across these surahs,"Abraham, Nimrod, Sarah, Hagar, Ishmael, Isaac","Abraham's search for truth, breaking idols, being thrown in fire but saved, sacrificing his son, building the Ka'bah, and being the patriarch of monotheism.",,,,
The People of Lot,"7, 11, 15, 26, 27, 29, 37, 54","7:80-84, 11:77-83, 15:57-77, 26:160-175, 27:54-58, 29:28-35, 37:133-138, 54:33-40","Lot, his people, his family","Lot preached against homosexuality and immorality; his people rejected him and were destroyed by a rain of stones, while he and believers were saved.",,,,
The People of Madyan and Prophet Shu'ayb,"7, 11, 26, 29","7:85-93, 11:84-95, 26:176-191, 29:36-37","Shu'ayb, people of Madyan",Shu'ayb called his people to stop cheating in trade and economic injustice; they were destroyed by an earthquake/thunderbolt.,,,,
The Story of Joseph,12.0,12:3-101,"Joseph, Jacob, Joseph's brothers, Aziz, Aziz's wife","The most complete narrative in a single surah, covering Joseph's dream, betrayal by brothers, slavery in Egypt, temptation, imprisonment, rise to power, and family reunion.",,,,
The Story of Moses,"2, 7, 10, 20, 26, 28, 79",Multiple verses across these surahs,"Moses, Aaron, Pharaoh, Children of Israel","Moses' birth, upbringing in Pharaoh's palace, exile to Madyan, calling at Mount Tur, confrontation with Pharaoh, exodus, and receiving the Torah.",,,,
The Parable of the Cow,2.0,2:67-73,"Moses, Children of Israel",Children of Israel were ordered to sacrifice a cow with specific attributes to solve a murder case; the dead man was struck with part of the sacrificed cow and revived to identify his killer.,,,,
The Story of Qarun (Korah),"28, 29, 40","28:76-82, 29:39, 40:24","Qarun, Moses, Children of Israel",Qarun was extremely wealthy from Moses' people but became arrogant. He was swallowed by the earth along with his treasures as punishment.,,,,
