Date/Period,Region/Tradition,Phenomenon/Practice,Key Figure(s)/Source,Description of Experience/Practice
c. 4100–1750 BCE,Sumerian,Dream interpretation,Sumerian priests,"Dreams recorded on clay tablets, interpreted as divine messages guiding rulers and society."
c. 3000–1000 BCE,Ancient Egypt,"Dream temples, vision-seeking",Egyptian priests,Dreams considered prophetic; temples dedicated to dream incubation for healing and guidance.
c. 1500–500 BCE,India (Vedic),Soma ritual (entheogenic drink),Vedic texts5,"Ritual use of Soma, a psychoactive substance, for visionary and spiritual experiences."
c. 800–500 BCE,India (Upanishadic/Hindu),"Philosophical dream yoga, states of consciousness",Upanishads53,"Upanishads introduce Brahman/Atman, and describe waking, dreaming, and deep sleep as key states; dreaming seen as a subcomponent of the greater life-dream, with the aim to awaken in all states for moksha (liberation)35."
c. 500 BCE–present,"India (Hinduism, Yoga)","Yogic paths: karma, bhakti, raja, jnana, hatha, kundalini, dream yoga",Hindu yogic traditions35,"Hinduism develops multiple yogic disciplines; while specific dream yoga is less prominent, the tradition emphasizes awakening from illusion in all states, including dreams3."
c. 400 BCE–present,India (Advaita Vedanta),"Waking, dreaming, deep sleep as states of illusion",Mandukya Upanishad35,"The Mandukya Upanishad analyzes the three states and the 'fourth' (turiya), which transcends them, influencing later dream yoga and nondual practices35."
c. 800–200 BCE,China (Daoist/Buddhist),"Dream Yoga, meditative dream practices",Early Buddhist/Daoist texts1,"Techniques to induce conscious awareness in dreams, influencing later Tibetan Dream Yoga."
4th century BCE,Greece,Lucid dreaming,Aristotle4,Aristotle writes about self-awareness in dreams: “something in consciousness declares that what then presents itself is but a dream.”
2nd century CE,Greece (Roman Empire),Lucid dreams in medicine,Galen of Pergamon4,"Used lucid dreams therapeutically, recording cases of healing and guidance through dreams."
415–451 CE,North Africa (Christian),Lucid dream as spiritual guidance,"Doctor Gennadius, Augustine1","Gennadius has a lucid dream with a guide, leading to spiritual transformation and visions of the afterlife."
Medieval period (c. 500–1500),"Europe (Witchcraft, Herbalism)","Entheogenic ointments, vision-seeking",European witches,"Use of psychoactive plants (henbane, belladonna) in ointments for visionary experiences."
c. 700–1300,Tibet (Buddhism),"Dream Yoga (Milam, Six Yogas of Naropa)","Marpa, Milarepa, Naropa, Tibetan yogis124","Systematic training in lucid dreaming to attain enlightenment and escape rebirth; dream yoga is a tantric practice passed through Kagyu, Nyingma, Gelug, and Bön lineages. Involves lucid dreaming, fearlessness, realization of emptiness, and dream control124."
c. 900–present,Tibet (Bön),Dream Yoga (Bön tradition),Bön lamas4,"Bön tradition has its own dream yoga, focusing on awareness in dreams to recognize the illusory nature of all phenomena4."
c. 1300–present,Tibet (Gelug),Dream Yoga (Tsongkhapa system),"Tsongkhapa, Gelug lineage1","Dream yoga is an extension of illusory body yoga; four trainings: retaining awareness, controlling dreams, overcoming fear, meditating on dream suchness1."
c. 1200–1325,Japan (Zen Buddhism),"Lucid dreams, visionary experiences",Keizan Jokin,Keizan records lucid dream and visionary experiences as part of Zen practice.
15th–19th centuries,"Malaysia (Senoi, Orang Asli)",Lucid dreaming for healing and guidance,"Senoi, Orang Asli shamans","Lucid dreaming taught from childhood; used for problem-solving, healing, and social harmony."
1605–1682,England,"Lucid dreaming, self-awareness in dreams",Sir Thomas Browne4,"Described composing and observing comedies in lucid dreams, fully aware of the dream state."
1665.0,England,Realization of dreaming within a dream,Samuel Pepys4,"Recognized he was dreaming while in a dream, a classic lucid dream experience."
1867.0,France,Systematic study of lucid dreaming,Marquis d’Hervey de Saint-Denys4,Published a book documenting personal lucid dreams and methods for dream control.
1898–1912,Netherlands,Scientific case study of lucid dreams,Frederik van Eeden4,"Recorded 352 lucid dreams, coining the term “lucid dream” and analyzing dream types."
1960s,Western counterculture,Psychedelic and lucid dream revival,"LaBerge, musicians",Psychedelic culture and music inspired renewed interest in lucid dreaming and altered states.
1968.0,UK,Scientific analysis of lucid dreams,Celia Green4,"Published research distinguishing lucid dreams from ordinary dreams, linking them to REM sleep."
1975.0,UK,Experimental verification of lucid dreaming,"Keith Hearne, Alan Worsley4","First physiological signals sent from within a lucid dream using eye movements, confirming lucidity in the lab."
1970s–present,Global (scientific research),Empirical validation of lucid dreaming,"Stephen LaBerge, Paul Tholey4","Used sleep labs and signaling to confirm lucid dreaming as a real, measurable phenomenon; developed induction techniques."
2025.0,Global,International Lucid Dreaming Day,Lucid dreaming community,April 12 recognized as a day to celebrate and promote lucid dreaming worldwide.
