"Here is a timeline table tracing the evolution of Yemo, Yama, and their variants across cultures, integrating the development of Satan/Ahriman, and St. Christopher as a Yama-like figure. The table also includes major Yama/Yamantaka/Bhairava forms.",,,,,,,
Period / Date,Culture / Region,Name / Variant,Description / Evolutionary Note,Related Figures / Parallels,,,
c. 3000–2000 BCE,Proto-Indo-European,Yemo,"Primordial twin in creation myth; killed by brother Manu, his body becomes the world.","Manu, Primordial Cow25",,,
c. 1500 BCE,Indo-Iranian,Yama / Yima,Yemo splits into Yama (Vedic India) and Yima (Avestan Iran); both become first mortal and king of the dead.,"Manu, Gayomartan (Iranian)41",,,
c. 1000 BCE,Vedic / Hindu,Yama,"God of death and justice, ruler of the underworld (Naraka), judge of souls.","Dharmaraja, Kala, Pluto, Hades811",,,
c. 1000 BCE,Zoroastrian (Iran),"Yima, Ahriman","Yima as first king; Ahriman (Angra Mainyu) as cosmic adversary, slayer of primordial beings, source of evil.","Ahura Mazda, Satan469",,,
1st millennium BCE,Buddhist (India/Tibet),"Yama, Yamantaka","Yama as judge of the dead; Yamantaka (“Yama-slayer”) emerges as a wrathful deity who conquers Yama, symbolizing victory over death.","Vajrabhairava, Manjushri107",,,
Early centuries CE,Chinese,Yanluo Wang (Yama),"Yama becomes Yanluo Wang, ruler of the underworld in Chinese Buddhism and Daoist mythology.",Ten Kings of Hell1,,,
Early centuries CE,Japanese,Enma (Yama),"Yama as Enma-ō, ruler of the afterlife, judge of souls.",Jizō (protector of souls)1,,,
c. 3rd–7th century CE,Christian / Middle Eastern,"Satan, Ahriman","Ahriman’s traits merge into Satan, the adversary in Christianity; both embody cosmic evil and rebellion.","Devil, Iblis96",,,
c. 5th–12th century,Indian Tantric Buddhism,"Yamantaka, Vajrabhairava","Yamantaka as wrathful aspect of Manjushri, depicted with buffalo head, conquers Yama; many forms (blue/black/red, multi-headed).","Krishna Yamari, Rakta Yamari107",,,
Middle Ages,Christian (Europe),St. Christopher,"Sometimes depicted with a dog or monstrous head (cynocephalus), linked in some legends to underworld guardianship and psychopomp roles, echoing Yama-like motifs.","Anubis, Hades (parallels, not direct)[*]",,,
,,,,,,,
Notes on Variants and Forms:,,,,,,,
,,,,,,,
"Yama/Yama Raja: Appears as the god of death and judge in Hinduism, Buddhism, and Jainism, often riding a buffalo and carrying a noose or mace811.",,,,,,,
,,,,,,,
"Yamantaka/Vajrabhairava: In Tibetan Buddhism, Yamantaka is the ""destroyer of Yama,"" embodying the wrathful aspect of Manjushri. Major forms include:",,,,,,,
,,,,,,,
"Vajrabhairava (buffalo-headed, multi-armed/wrathful)",,,,,,,
,,,,,,,
Krishna (Black) Yamari,,,,,,,
,,,,,,,
Rakta (Red) Yamari,,,,,,,
,,,,,,,
"Multiple mandala forms (13-, 17-, 21-, 49-deity)107",,,,,,,
,,,,,,,
"Ahriman/Satan: Ahriman (Angra Mainyu) is the Zoroastrian principle of evil, later influencing the concept of Satan as the adversary in Abrahamic religions69.",,,,,,,
,,,,,,,
"St. Christopher: In some medieval legends, depicted as a cynocephalus (dog-headed giant), possibly echoing psychopomp or underworld guardian motifs similar to Yama or Anubis[*].",,,,,,,
,,,,,,,
"[*] The connection between St. Christopher and Yama is interpretative and based on the motif of monstrous or animal-headed guardians of the threshold to the afterlife, found in multiple mythologies.",,,,,,,
,,,,,,,
"This table illustrates the transformation of the primordial Indo-European Yemo into various death, afterlife, and adversary figures across Eurasian religions, highlighting the persistent motif of the judge or conqueror of death, and the integration of dualistic evil (Ahriman/Satan) into later religious frameworks. Yamantaka’s Buddhist forms represent the transcendence and conquest of death, while St. Christopher’s monstrous depictions echo the ancient threshold guardian archetype248107691.",,,,,,,
Share,,,,,,,
Export,,,,,,,
Rewrite,,,,,,,
"Here is a timeline table tracing the evolution of Yemo, Yama, and their variants across cultures, integrating the development of Satan/Ahriman, and St. Christopher as a Yama-like figure. The table also includes major Yama/Yamantaka/Bhairava forms.",,,,,,,
Period / Date,Culture / Region,Name / Variant,Description / Evolutionary Note,Related Figures / Parallels,,,
c. 3000–2000 BCE,Proto-Indo-European,Yemo,"Primordial twin in creation myth; killed by brother Manu, his body becomes the world.","Manu, Primordial Cow25",,,
c. 1500 BCE,Indo-Iranian,Yama / Yima,Yemo splits into Yama (Vedic India) and Yima (Avestan Iran); both become first mortal and king of the dead.,"Manu, Gayomartan (Iranian)41",,,
c. 1000 BCE,Vedic / Hindu,Yama,"God of death and justice, ruler of the underworld (Naraka), judge of souls.","Dharmaraja, Kala, Pluto, Hades811",,,
c. 1000 BCE,Zoroastrian (Iran),"Yima, Ahriman","Yima as first king; Ahriman (Angra Mainyu) as cosmic adversary, slayer of primordial beings, source of evil.","Ahura Mazda, Satan469",,,
1st millennium BCE,Buddhist (India/Tibet),"Yama, Yamantaka","Yama as judge of the dead; Yamantaka (“Yama-slayer”) emerges as a wrathful deity who conquers Yama, symbolizing victory over death.","Vajrabhairava, Manjushri107",,,
Early centuries CE,Chinese,Yanluo Wang (Yama),"Yama becomes Yanluo Wang, ruler of the underworld in Chinese Buddhism and Daoist mythology.",Ten Kings of Hell1,,,
Early centuries CE,Japanese,Enma (Yama),"Yama as Enma-ō, ruler of the afterlife, judge of souls.",Jizō (protector of souls)1,,,
c. 3rd–7th century CE,Christian / Middle Eastern,"Satan, Ahriman","Ahriman’s traits merge into Satan, the adversary in Christianity; both embody cosmic evil and rebellion.","Devil, Iblis96",,,
c. 5th–12th century,Indian Tantric Buddhism,"Yamantaka, Vajrabhairava","Yamantaka as wrathful aspect of Manjushri, depicted with buffalo head, conquers Yama; many forms (blue/black/red, multi-headed).","Krishna Yamari, Rakta Yamari107",,,
Middle Ages,Christian (Europe),St. Christopher,"Sometimes depicted with a dog or monstrous head (cynocephalus), linked in some legends to underworld guardianship and psychopomp roles, echoing Yama-like motifs.","Anubis, Hades (parallels, not direct)[*]",,,
,,,,,,,
Notes on Variants and Forms:,,,,,,,
,,,,,,,
"Yama/Yama Raja: Appears as the god of death and judge in Hinduism, Buddhism, and Jainism, often riding a buffalo and carrying a noose or mace811.",,,,,,,
,,,,,,,
"Yamantaka/Vajrabhairava: In Tibetan Buddhism, Yamantaka is the ""destroyer of Yama,"" embodying the wrathful aspect of Manjushri. Major forms include:",,,,,,,
,,,,,,,
"Vajrabhairava (buffalo-headed, multi-armed/wrathful)",,,,,,,
,,,,,,,
Krishna (Black) Yamari,,,,,,,
,,,,,,,
Rakta (Red) Yamari,,,,,,,
,,,,,,,
"Multiple mandala forms (13-, 17-, 21-, 49-deity)107",,,,,,,
,,,,,,,
"Ahriman/Satan: Ahriman (Angra Mainyu) is the Zoroastrian principle of evil, later influencing the concept of Satan as the adversary in Abrahamic religions69.",,,,,,,
,,,,,,,
"St. Christopher: In some medieval legends, depicted as a cynocephalus (dog-headed giant), possibly echoing psychopomp or underworld guardian motifs similar to Yama or Anubis[*].",,,,,,,
,,,,,,,
"[*] The connection between St. Christopher and Yama is interpretative and based on the motif of monstrous or animal-headed guardians of the threshold to the afterlife, found in multiple mythologies.",,,,,,,
,,,,,,,
"This table illustrates the transformation of the primordial Indo-European Yemo into various death, afterlife, and adversary figures across Eurasian religions, highlighting the persistent motif of the judge or conqueror of death, and the integration of dualistic evil (Ahriman/Satan) into later religious frameworks. Yamantaka’s Buddhist forms represent the transcendence and conquest of death, while St. Christopher’s monstrous depictions echo the ancient threshold guardian archetype248107691.",,,,,,,
