"Timeline of Major and Minor Prophets, Hero Figures, and Miracle Workers Across Traditions",,,,,,,,,
Date,Name,Tradition,Region,Key Teachings,Notable Works/Texts,Reported Miracles/Powers,Biographical Information,Martyrdom,Ruling Dynasty/Power
c. 2500 BCE,Imhotep,Egyptian,Egypt,"Medical wisdom, architectural knowledge","Step Pyramid of Djoser, medical treatises","Healing the sick, architectural innovations","Commoner who rose to become vizier to Pharaoh Djoser, later deified",No,"Old Kingdom, 3rd Dynasty"
c. 2000-1700 BCE,Abraham/Ibrahim,Judaism/Christianity/Islam,"Mesopotamia, Canaan","Monotheism, covenant with God",None authored (stories in Genesis/Quran),"Survival in fiery furnace (Islamic tradition), conception of child in old age","Born in Ur, migrated to Canaan, patriarch of Israelites",No,Various Mesopotamian kingdoms (possibly Amorite dynasties)
c. 1900-1700 BCE,Job/Ayyub,Judaism/Christianity/Islam,Uncertain (Edom?),"Patience in suffering, divine justice",Book of Job,"Miraculous healing, endurance of divine test",Wealthy man who lost everything but maintained faith,No,Unknown local rulers
c. 1700-1550 BCE,Joseph/Yusuf,Judaism/Christianity/Islam,Egypt,"Divine providence, forgiveness",None authored (stories in Genesis/Quran),"Dream interpretation, prophecy","Sold into slavery by brothers, rose to become Egypt's vizier",No,Hyksos Period (possibly)
c. 1391-1271 BCE,Moses/Musa,Judaism/Christianity/Islam,"Egypt, Sinai","Monotheism, divine law, liberation",Torah/Pentateuch (traditionally attributed),"Parting the Red Sea, receiving commandments, staff turning to snake, plagues of Egypt","Born to Hebrew slaves, raised in Pharaoh's household, led Exodus",No,"New Kingdom, 19th Dynasty (Ramesses II possibly)"
c. 1200-1100 BCE,Samson,Judaism/Christianity,Canaan,Divine strength with faith,None authored (story in Book of Judges),"Superhuman strength, killing lion, destroying temple","Judge of Israel, Nazirite from birth",Yes (died causing temple collapse),"Period of Judges, Philistine rule"
c. 1040-970 BCE,Samuel,Judaism/Christianity,Israel,"Prophetic leadership, divine kingship",Books of Samuel (traditionally attributed),"Prophetic visions, anointing kings","Last Judge of Israel, prophet who anointed Saul and David",No,Transition from Judges to Monarchy
c. 1000-962 BCE,David,Judaism/Christianity/Islam,Israel,"Divine kingship, repentance",Psalms (traditionally attributed),"Giant-slaying, military victories","Shepherd who became king, established Jerusalem",No,United Monarchy of Israel
c. 970-931 BCE,Solomon/Sulaiman,Judaism/Christianity/Islam,Israel,"Wisdom, justice","Proverbs, Ecclesiastes, Song of Songs (traditionally attributed)","Conversing with animals, controlling jinn (Islamic tradition), divine wisdom","Son of David, built First Temple",No,United Monarchy of Israel
c. 870-845 BCE,Elijah/Ilyas,Judaism/Christianity/Islam,Northern Israel,"Pure monotheism, opposition to Baal worship",None authored (stories in Kings),"Calling fire from heaven, parting river, resurrection, ascending to heaven in fiery chariot","Prophet during religious crisis, confronted King Ahab",No (ascended to heaven),Omride Dynasty (Kingdom of Israel)
c. 850-800 BCE,Elisha,Judaism/Christianity,Northern Israel,Continuation of Elijah's mission,None authored (stories in Kings),"Healing, resurrection, multiplying food, floating axe head",Disciple and successor of Elijah,No,Jehu Dynasty (Kingdom of Israel)
c. 800-750 BCE,Jonah/Yunus,Judaism/Christianity/Islam,"Israel, Nineveh","Divine mercy, universal prophethood",Book of Jonah,Survival inside a great fish/whale,Prophet sent to Nineveh,No,"Jehu Dynasty (Israel), Neo-Assyrian Empire"
