"To improve the accuracy and expand your table to include all known chakra-like systems and the elements associated with Plato, Platonic solids, and related Western schools, it is essential to:",,,,,,,
Year (approx.),System/Structure,#,Elements/Chakras/Features,Colors/Associations,Deity/Key Figure(s),Source Text/Reference,Tradition/Region
4000–200 BC,Proto-Eurasian Cosmology,-,"Elemental motifs, cosmic mountains, world trees, cycles",Not specified,Mythic figures,"Archaeological, mythological evidence",Pan-Eurasian
1500–500 BC,Vedic Mahābhūta,5.0,"Earth, Water, Fire, Air, Space",Not specified,"Agni, Vayu, etc.","Vedas, Upanishads",Vedic India
600–200 BC,Jain Kālacakra (Time Wheel),6.0,Six aras (epochs) per half-cycle,Not specified,24 Tīrthaṅkaras per cycle,"Jain Āgamas, cosmology texts",Jainism
600–200 BC,Jain Cosmology,5.0,"Earth, Water, Fire, Air, Space",Not specified,None,Jain cosmological treatises,Jainism
600–200 BC,Sāṃkhya/Purusha System,5.0,"Earth, Water, Fire, Air, Space",Not specified,Purusha,"Sāṃkhya Kārikā, Upanishads",Hinduism
300 BC–200 CE,Early Buddhist Elements,2025-04-05 00:00:00,"Earth, Water, Fire, Air (+ sometimes Space)",Not specified,None,Early Buddhist suttas,Buddhism
200 BC–200 CE,Buddhist Stupa Elemental,5.0,"Earth, Water, Fire, Air, Space (architectural symbolism)","Yellow, White, Red, Green, None",Enlightened Mind symbolism,"Stupa architecture, Drimed Namnyiy",Buddhism
400–800 CE,Zoroastrian Elements,4.0,"Fire, Water, Earth, Air",Not specified,Ahura Mazda,Avesta,Persia
200–400 CE,Greco-Roman Elements,2025-04-05 00:00:00,"Earth, Water, Fire, Air (+ Aether)",Not specified,None,"Empedocles, Plato, Aristotle","Greece, Rome"
400–800 CE,Platonic Solids (Plato),5.0,"Cube (Earth), Icosahedron (Water), Tetrahedron (Fire), Octahedron (Air), Dodecahedron (Aether)",Not specified,"Plato, Pythagoras","Timaeus, Pythagorean/Platonic texts",Greece
600–900 CE,Early Vajrayana Chakras,4.0,"Navel, Heart, Throat, Crown",Not specified,"Vairocana, Amitābha, etc.",Early Vajrayana Tantras,Vajrayana Buddhism
900–1100 CE,Vajrayana Five-Chakra,5.0,"Crown, Throat, Heart, Navel, Secret","White, Blue, Red, Yellow, Green",Five Dhyani Buddhas,"Vajrayana Tantras, Tibetan commentaries",Tibetan Buddhism
1100–1400 CE,Jain Nadis and Chakras,9+,Chakras and nadis (energy centers),Not specified,None,"Jain yoga texts, commentaries",Jainism
1000–1200 CE,Kubjikāmata Tantra,6+1,"Muladhara, Svadhisthana, Manipura, Anahata, Vishuddha, Ajna",Not specified,"Dakinis, Shiva, Shakti",Kubjikāmata-tantra,Hindu Tantra
1500–1600 CE,Ṣaṭ-Cakra-Nirūpaṇa,6+1,Standardized 6 chakras + Sahasrara,Modern: Rainbow colors,"Dakinis, Shiva, Shakti",Ṣaṭ-Cakra-Nirūpaṇa,Hindu Tantra
1880–1920 CE,Western 7-Chakra System,7.0,"Muladhara, Svadhisthana, Manipura, Anahata, Vishuddha, Ajna, Sahasrara","Red, Orange, Yellow, Green, Blue, Indigo, Violet/White","Shiva, Shakti, etc.","Theosophy, Leadbeater, Avalon","Western Esotericism, New Age"
20th–21st c.,7-Year Chakra Cycle,7.0,"Root to Crown, mapped to life cycles",As above,Not specified,"Modern New Age, Life Cycle Theories","New Age, Western"
20th–21st c.,22-Chakra System,22.0,Traditional 7 + higher/lower centers,Various,Not specified,Modern New Age sources,"New Age, Western"
Various,Kabbalah (Sefirot),10.0,"Sefirot (energy centers, not elements)",Various,"Ein Sof, various angels","Sefer Yetzirah, Zohar",Jewish Mysticism
Various,Hermeticism (Elements),2025-04-05 00:00:00,"Earth, Water, Air, Fire (+ Aether/Spirit)",Not specified,Hermes Trismegistus,"Hermetica, Corpus Hermeticum","Hellenistic Egypt, Europe"
Various,"Neoplatonism (Hypostases, etc.)",3+,"The One, Nous, Soul (sometimes mapped to elements)",Not specified,"Plotinus, Proclus","Enneads, Elements of Theology","Roman Empire, Byzantium"
Various,Western Esoteric Energy Centers,7+,"Chakras, Sefirot, planetary spheres, etc.",Various,Various,"Theosophy, New Age, Occult texts","Europe, America"
Platonic Solid,Element,Chakra Association,Color (Modern),Reference,,,
Cube,Earth,Root (Muladhara),Red,28.0,,,
Icosahedron,Water,Sacral (Svadhisthana),Orange,245.0,,,
Tetrahedron,Fire,Solar Plexus (Manipura),Yellow,24.0,,,
Octahedron,Air,Heart (Anahata),Green,234.0,,,
Dodecahedron,Aether,Throat/Third Eye/Crown,Blue/Indigo/Violet,24.0,,,
