Graph Table: Angels & Demons in Abrahamic Traditions,,,,,,,,,,,
Name,Type (Angel/Demon),Rank/Role,Tradition(s),First Appearance (Text),Year (Est.),Description,Associated Texts,,,,
Michael,Archangel,Leader of Heavenly Host,"Jewish, Christian, Muslim",Book of Daniel (Hebrew Bible),~165 BCE,"Protector of Israel, defeats Satan in Revelation.","Daniel 10:13, Revelation 12:7, Quran 2:98",,,,
Gabriel,Archangel,Divine Messenger,"Jewish, Christian, Muslim",Book of Daniel (Hebrew Bible),~165 BCE,"Annunciator (e.g., to Mary in Luke). Called Jibril in Islam.","Daniel 8:16, Luke 1:26, Quran 2:97",,,,
Samael,Angel/Demon,"Accuser, Destroyer","Jewish, Christian",1 Enoch (Apocrypha),~300–100 BCE,Often linked to Satan or the serpent.,"1 Enoch, Talmud, Zohar",,,,
Azazel,Fallen Angel/Demon,Corrupter of Humanity,"Jewish, Christian",Book of Enoch,~300–100 BCE,Taught forbidden arts; bound in desert.,"1 Enoch 8:1, Leviticus 16:8 (scapegoat)",,,,
Iblis,Demon (Jinn),"Tempter, Refuser of Adam",Muslim,Quran,7th century CE,Analogous to Satan; refused to bow to Adam.,"Quran 7:11–18, 15:28–44",,,,
Lilith,Demon,"Night Spirit, Adam's ""first wife""","Jewish, Christian",Alphabet of Ben Sira,~700–1000 CE,Associated with infant mortality and seduction.,"Talmud, Zohar, medieval Kabbalah",,,,
Metatron,Archangel,Heavenly Scribe,"Jewish, Christian",3 Enoch (Heb. Merkabah),~5th century CE,Transformed prophet Enoch into an angel.,"3 Enoch, Kabbalistic texts",,,,
Beelzebub,Demon,"""Lord of the Flies""","Christian, Jewish",New Testament,1st century CE,Philistine god later demonized; prince of demons.,"Matthew 12:24, Mark 3:22",,,,
Harut & Marut,Fallen Angels,Testers of Humanity,Muslim,Quran,7th century CE,Taught magic in Babylon as a test.,Quran 2:102,,,,
Leviathan,Demon/Chaos Beast,Primordial Serpent,"Jewish, Christian",Hebrew Bible,~6th century BCE,Symbol of chaos; eschatological foe.,"Job 41, Isaiah 27:1, Psalms 74:14",,,,
