Evolution of Ancient Judaism and Hellenistic Influence: A Comprehensive Timeline,,,,,,,,,,,,,,,,,,,,,,,,,
Bronze Age and Early Israelite Period,,,,,,,,,,,,,,,,,,,,,,,,,
Date (BCE),Peoples/Cultures,Religious Beliefs & Practices,Key Events & Developments,Notable Figures/Groups,,,,,,,,,,,,,,,,,,,,,
c. 3500–1200,Canaanites (Bronze Age),"Polytheistic: El, Baal, Asherah, etc.",Canaanite city-states dominate; religious syncretism common,,,,,,,,,,,,,,,,,,,,,,
c. 1400–1200,"Proto-Israelites, Hebrews",Early Yahweh worship emerges; shared Canaanite deities and customs,Proto-Israelites emerge within Canaanite society,,,,,,,,,,,,,,,,,,,,,,
c. 1208,Israelites,Yahweh worship present; Canaanite deities persist,"""Israel"" mentioned on Merneptah Stele; Israelites appear in Canaan",,,,,,,,,,,,,,,,,,,,,,
c. 1200–1000,"Israelites, Canaanites","Yahweh worship spreads; Asherah, Baal, and others still venerated",Archaeology shows new highland villages with Israelite identity,,,,,,,,,,,,,,,,,,,,,,
Monarchic Period and Divided Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,
Date (BCE),Peoples/Cultures,Religious Beliefs & Practices,Key Events & Developments,Notable Figures/Groups,,,,,,,,,,,,,,,,,,,,,
c. 1000–930,United Monarchy,"Yahweh as national god, but polytheistic practices endure",Formation of Israelite state; syncretism and idol worship reported in biblical texts,,,,,,,,,,,,,,,,,,,,,,
c. 930–722,"Israel (North), Judah (South)","Official Yahwism, but Asherah and Baal worship widespread","Prophetic and royal opposition to ""idolatry""; Asherah worship in temples",Elijah vs. prophets of Baal and Asherah,,,,,,,,,,,,,,,,,,,,,
c. 850,"Israel, Moab",Yahweh's name attested outside Israel,Moabite Stone (Mesha Stele) contains earliest known extra-biblical reference to Yahweh,,,,,,,,,,,,,,,,,,,,,,
c. 800–600,"Israel, Judah","Moves toward monolatry/monotheism, but popular religion includes Asherah",Assyrian conquest of Israel (722 BCE); reforms in Judah begin,,,,,,,,,,,,,,,,,,,,,,
640–609,Judah,"Josiah's reforms: centralization of Yahweh worship, purging of Asherah and Baal","Josiah removes Asherah from Temple, burns symbols, suppresses goddess worship",King Josiah,,,,,,,,,,,,,,,,,,,,,
Babylonian and Persian Period,,,,,,,,,,,,,,,,,,,,,,,,,
Date (BCE),Peoples/Cultures,Religious Beliefs & Practices,Key Events & Developments,Notable Figures/Groups,,,,,,,,,,,,,,,,,,,,,
586.0,"Judah, Exiles in Babylon",Monotheism solidifies among elite; popular religion still varied,Babylonian conquest; Temple destroyed; exile accelerates monotheistic Yahwism,,,,,,,,,,,,,,,,,,,,,,
539.0,Jews under Persian rule,Monotheism institutionalized; Asherah/Baal worship marginalized,Cyrus the Great conquers Babylon; issues edict allowing Jews to return to Judea; end of Babylonian Exile,Cyrus the Great,,,,,,,,,,,,,,,,,,,,,
516.0,Jews under Persian rule,Yahweh as sole deity worship established,Second Temple completed in Jerusalem; restoration of Jewish religious life and worship,Zerubbabel,,,,,,,,,,,,,,,,,,,,,
515–445,Jews under Persian rule,Codification of monotheistic practices,Persian-appointed governors rule Judea; relative autonomy; exposure to Persian administration,"Zerubbabel, Nehemiah",,,,,,,,,,,,,,,,,,,,,
500–332,Jews under Persian rule,Torah-based Judaism develops,"Jews integrated into imperial bureaucracy; Aramaic becomes common language; cultural, legal, and linguistic Persian influences","Ezra, Nehemiah",,,,,,,,,,,,,,,,,,,,,
Transition to Hellenistic Period,,,,,,,,,,,,,,,,,,,,,,,,,
Date (BCE),Peoples/Cultures,Religious Beliefs & Practices,Key Events & Developments,Notable Figures/Groups,,,,,,,,,,,,,,,,,,,,,
c. 330,Jews under Greek rule,Monotheistic Judaism meets Greek culture,Alexander the Great defeats Darius III; end of Persian rule; Judea passes from Persian to Macedonian/Greek control,Alexander the Great,,,,,,,,,,,,,,,,,,,,,
323.0,Jews under Greek rule,Jewish monotheism continues,Death of Alexander; empire splits among generals (Ptolemies & Seleucids); Judea caught between Ptolemaic Egypt and Seleucid Syria,,,,,,,,,,,,,,,,,,,,,,
301–198,Jews under Ptolemaic rule,Judaism adapts to Hellenistic environment,"Ptolemies control Judea; Alexandria becomes major Jewish center; Jews exposed to Greek language, culture, and administration",,,,,,,,,,,,,,,,,,,,,,
Early Hellenistic Jewish Developments,,,,,,,,,,,,,,,,,,,,,,,,,
Date (BCE),Peoples/Cultures,Religious Beliefs & Practices,Key Events & Developments,Notable Figures/Groups,,,,,,,,,,,,,,,,,,,,,
285-247,Hellenic Jews,Jewish-Greek cultural synthesis begins,,"The Seventy Translators (created the Septuagint, Greek translation of Hebrew Bible)",,,,,,,,,,,,,,,,,,,,,
c. 250,Hellenic Jews,Greek becomes Jewish linguistic medium,Septuagint (Greek translation of Hebrew Bible) produced in Alexandria,,,,,,,,,,,,,,,,,,,,,,
250-200,Hellenic Jews,Early Pharisaic thought emerges,,Antigonus of Sokho (early Pharisaic figure; first Jew known to have a Greek name),,,,,,,,,,,,,,,,,,,,,
220-200,Hellenic Jews,Jewish historiography in Greek,,Demetrius the Chronographer (wrote on biblical chronology in Alexandria),,,,,,,,,,,,,,,,,,,,,
198.0,Jews under Seleucid rule,Judaism under pressure from Hellenism,Seleucids take control of Judea from Ptolemies; increased Hellenistic pressure on Judean society,,,,,,,,,,,,,,,,,,,,,,
Maccabean Crisis and Response,,,,,,,,,,,,,,,,,,,,,,,,,
Date (BCE),Peoples/Cultures,Religious Beliefs & Practices,Key Events & Developments,Notable Figures/Groups,,,,,,,,,,,,,,,,,,,,,
