Name,Dates,School,Teacher
Abrotelia,Unknown,Epicurean,Epicurus (possibly)
Aedesia,4th century AD,Neoplatonism,"Her husband, Hermias"
Aesara,4th-3rd century BC,Pythagoreanism,Unknown
Arete of Cyrene,4th-3rd century BC,Cyrenaic,Aristippus (her father)
Arignote,6th century BC,Pythagoreanism,Pythagoras (her father)
Asclepigenia,5th century AD,Neoplatonism,"Her father, Plutarch of Athens"
Aspasia,5th century BC,Socratic (presumably),Unknown
Axiothea of Phlius,4th century BC,Platonism,Plato
Batis of Lampsacus,4th-3rd century BC,Hedonism,Epicurus
Cleopatra the Alchemist,3rd century AD,Alchemy,Mary the Jewess (possibly)
Damo (philosopher),6th century BC,Pythagoreanism,Pythagoras (her father)
Diotima of Mantinea,Unknown (mythical/real?),Presocratic,Unknown
Hipparchia of Maroneia,4th century BC,Cynicism,Crates of Thebes (her husband)
Hypatia,350-415 AD,Neoplatonism,"Her father, Theon of Alexandria"
Lastheneia of Mantinea,4th century BC,Platonism,Plato
Leontion,4th-3rd century BC,Epicurean,Epicurus
Melissa (philosopher),Unknown,Pythagoreanism,Unknown
Myia,6th century BC,Pythagoreanism,Pythagoras (her father)
Myro of Rhodes,Unknown,Stoicism,Unknown
Nicarete of Megara,4th-3rd century BC,Megarian,Eucleides (possibly)
Nikidion,3rd century BC,Epicurean,Epicurus (possibly)
Perictione,5th-4th century BC,Pythagoreanism,Pythagoras
Phintys,4th-3rd century BC,Pythagoreanism,Unknown
Ptolemais of Cyrene,3rd-2nd century BC,Peripatetic,Andronicus of Rhodes (possibly)
Sosipatra,4th century AD,Neoplatonism,Aedesius
Theano (philosopher),6th century BC,Pythagoreanism,Pythagoras (her husband)
Themista of Lampsacus,4th-3rd century BC,Epicurean,Epicurus
Themistoclea,6th century BC,Delphic Oracle,Pythagoras (her student)
Theodora of Emesa,4th century AD,Neoplatonism,Iamblichus
Timycha,4th-3rd century BC,Pythagoreanism,Unknown
