List,Period,Source
Six Tenets of Advaita,8th-9th century CE,Adi Shankaracharya (Advaita Vedanta)
Threefold Path,5th century BCE,The Buddha (Buddhism)
Four Noble Truths,5th century BCE,The Buddha (Buddhism)
Eightfold Path,5th century BCE,The Buddha (Buddhism)
Four Virtues of Stoicism,3rd century BCE,Zeno of Citium (Stoicism)
Three Aspects of the Good,3rd century BCE,Plotinus (Neoplatonism)
Ten Principles of Jainism,6th century BCE,Mahavira (Jainism)
Five Vows of Jainism,6th century BCE,Mahavira (Jainism)
Fourfold Qualities of Advaita,Post-Shankara Advaita,Advaita Vedanta Tradition
Cardinal Principles of Jainism,6th century BCE,Mahavira (Jainism)
Theory of Forms,4th century BCE,Plato (Platonism)
Tripartite Soul,4th century BCE,Plato (Platonism)
Allegory of the Cave,4th century BCE,Plato (Platonism)
Socratic Method,5th-4th century BCE,Socrates
Pythagorean Theorem,6th century BCE,Pythagoras (Pythagoreanism)
Tetractys,6th century BCE,Pythagoras (Pythagoreanism)
Harmony of the Spheres,6th century BCE,Pythagoras (Pythagoreanism)
The One,3rd century CE,Plotinus (Neoplatonism)
Emanation Theory,3rd century CE,Plotinus (Neoplatonism)
Hypostases,3rd century CE,Plotinus (Neoplatonism)
Seven Hermetic Principles,1st-3rd century CE,Hermes Trismegistus (Hermeticism)
Doctrine of Correspondences,1st-3rd century CE,Hermes Trismegistus (Hermeticism)
Anamnesis,4th century BCE,Plato (Platonism)
Doctrine of Opposites,6th century BCE,Pythagoras (Pythagoreanism)
Nous (Intellect),3rd century CE,Plotinus (Neoplatonism)
World Soul,3rd century CE,Plotinus (Neoplatonism)
Demiurge,4th century BCE,Plato (Platonism)
Monad and Dyad,6th century BCE,Pythagoras (Pythagoreanism)
"As Above, So Below",1st-3rd century CE,Hermes Trismegistus (Hermeticism)
Reincarnation,6th century BCE,Pythagoras (Pythagoreanism)
