"Comprehensive Table of Trials, Adventures, Events, and Tribulations of Mithras/Maitreya/Mitra",,,,,,,,
Event Category,Vedic Mitra,Persian/Zoroastrian Mithra,Roman Mithras,Early Buddhist Maitreya,Mahayana Maitreya,East Asian Maitreya,Syncretic/Folk Interpretations,
Birth/Origin,• Born at dawn from cosmic waters<br>• Self-manifested from primordial light<br>• Created by Ahura Mazda as first spiritual yazata,• Born from primordial cosmic stone (petra genetrix)<br>• Emerged fully formed with torch and dagger<br>• Birth witnessed by shepherds,• Born from cosmic egg/lotus<br>• Descended from Tuṣita heaven by choice<br>• Born to royal parents King Subrahmā and Queen Brahmāvatī<br>• Birth accompanied by miraculous signs,• Previous life as monk Ajita<br>• Rebirth in Tuṣita heaven after countless meritorious lives<br>• Currently awaiting final rebirth,"• Born from lotus in Chinese traditions<br>• In Japanese myths, arrived over ocean<br>• Budai born as eccentric monk in 10th century China",• Born from union of sun and moon<br>• Emerged from sacred mountain<br>• Born from white lotus growing from cosmic waters,,
Youth/Training,• No explicit youth narrative<br>• Established as fully formed deity<br>• Master of cosmic order from beginning,• Dwelling on mountain peak Hara Berezaiti<br>• Learning cosmic secrets from Ahura Mazda<br>• Developing vigilant gaze that sees all falsehoods,• No explicit youth narrative in surviving texts<br>• Possibly trained by Saturn/Kronos (fragmentary evidence),• Previous lifetimes spent perfecting paramitas<br>• Studying under Gautama Buddha<br>• Receiving prophecy of future buddhahood,• Countless previous lives cultivating merit<br>• Studying with previous buddhas<br>• Mastering all dharmas and perfections,"• Training in celestial academies<br>• Learning from cosmic buddhas<br>• In Budai form, wandering as eccentric monk",• Youth spent among celestial herdsmen<br>• Trained by ancient sages in primeval times<br>• Apprenticeship to cosmic smith/craftsman,
Primary Trials,• Confronting cosmic forces of darkness (Vrtra)<br>• Establishing primordial covenant with humanity<br>• Measuring earth and sky (with Varuna),• Combat with wild bull of creation<br>• Battles with Angra Mainyu/Ahriman<br>• Confrontation with demons of drought<br>• Trial of maintaining cosmic order against chaos,• Capturing and sacrificing primordial bull<br>• Harvesting bull's blood and life-force<br>• Combat with solar deity (Sol) before alliance<br>• Ascent through planetary spheres,• Overcoming birth and death cycle<br>• Resisting Māra's temptations<br>• Abandoning divine pleasures for human realm<br>• Last struggle with ignorance before enlightenment,• Vow to save all beings before own liberation<br>• Confronting demons of this degenerate age<br>• Waiting with perfect patience for proper time<br>• Victory over the six realms of samsara,"• Contest with local deities in China/Japan<br>• Enduring human rejection and misunderstanding<br>• Walking among suffering beings<br>• As Budai, embracing poverty and ridicule",• Descent into underworld/hell realms<br>• Combat with world-eating serpent<br>• Crossing burning desert/frozen wasteland<br>• Riddle contest with cosmic sphinx,
Major Victories,• Binding together sky and earth<br>• Defeating forces of cosmic darkness<br>• Establishing first sacrificial rites<br>• Securing cosmic waters and rainfall,"• Defeating Angra Mainyu's forces<br>• Establishing covenant with Ahura Mazda<br>• Victory over 99,999 demons<br>• Successfully judging souls on Chinvat Bridge",• Successful bull sacrifice creating life<br>• Cosmic feast with Sol confirming alliance<br>• Ascent to celestial sphere<br>• Establishment of mystery initiations,"• Achieving perfect enlightenment<br>• Turning wheel of dharma<br>• Converting millions of beings<br>• Establishing dharma for 60,000 years",• Attaining complete buddhahood<br>• Liberating beings in three great assemblies<br>• Establishing pure buddha-field<br>• Complete victory over Māra and ignorance,• Conversion of East Asian kingdoms<br>• Harmony with local deities<br>• Establishment of major temple complexes<br>• Integration into imperial systems,• Victory over death itself<br>• Taming of wild cosmic forces<br>• Liberation of imprisoned divine entities<br>• Establishment of golden age,
Companions & Allies,• Varuna (cosmic partner)<br>• Aryaman (social order)<br>• Agni (sacrificial fire)<br>• The Adityas (solar deities),• Sraosha (divine obedience)<br>• Rashnu (justice)<br>• Verethraghna (victory)<br>• Ahura Mazda (supreme deity),"• Cautes and Cautopates (torch bearers)<br>• Sol (sun)<br>• Luna (moon)<br>• Saturn/Kronos (time)<br>• The lion, snake, dog, raven",• Śakra/Indra (king of gods)<br>• Brahma (creator deity)<br>• Previous buddha Gautama<br>• Countless bodhisattvas,• Avalokiteśvara (compassion)<br>• Mañjuśrī (wisdom)<br>• Samantabhadra (practice)<br>• Vairocana Buddha (cosmic buddha),• Local protective deities<br>• Imperial figures<br>• Pure Land buddhas<br>• Folk heroes and sages,"• Animal helpers (lion, tiger, deer)<br>• Star maidens and celestial nymphs<br>• Thunder gods and weather spirits<br>• Divine craftsmen and smiths",
Adversaries,• Vrtra (cosmic serpent)<br>• Forces of cosmic darkness (dasyus)<br>• Those who break oaths<br>• Dishonest humans,• Angra Mainyu/Ahriman (evil spirit)<br>• Drought demon Apaosha<br>• Deceivers and oath-breakers<br>• Forces of cosmic darkness,• Primordial bull (both adversary and victim)<br>• Saturn/Kronos (in some versions)<br>• Chaotic cosmic forces<br>• Time as limitation,• Māra (temptation/delusion)<br>• Ignorance and attachment<br>• Bad karma from past ages<br>• Defilements (kleśas),• Six realms of suffering<br>• Ignorance and delusion<br>• The demon king Pāpīyas<br>• False teachers in degenerate age,• Corrupt rulers and officials<br>• Local demons and malevolent spirits<br>• Political enemies of imperial patrons<br>• Heretical teachers,• World-destroying cosmic serpent<br>• Time lord who limits divine power<br>• Trickster figures who create illusions<br>• False saviors claiming divine authority,
Current State/Activity,• Watching over oaths and contracts<br>• Maintaining cosmic order<br>• Sustaining friendly relations<br>• Rewarding the faithful,• Observing humanity from mountain peak<br>• Driving sun-chariot across sky<br>• Judging souls on Chinvat Bridge<br>• Awaiting final world renewal,• Present in mystery sanctuaries (mithraea)<br>• Accessible through ritual initiation<br>• Guiding worthy souls through planetary spheres<br>• Maintaining cosmic order through bull sacrifice,• Teaching in Tuṣita Heaven<br>• Awaiting proper time for descent<br>• Watching over dedicated followers<br>• Preparing final buddha incarnation,• Presiding over celestial buddha-field<br>• Sending emanations to suffering realms<br>• Accessible through meditation/visualization<br>• Inspiring dharma practice,"• As Budai, wandering among common people<br>• Protecting imperial systems<br>• Dwelling in major temple complexes<br>• Accessible through devotional practices",• Hidden within sacred mountains<br>• Disguised among ordinary humans<br>• Speaking through oracles and mystics<br>• Appearing in dreams to worthy devotees,
Future Trials,• Final battle with forces of chaos<br>• Confrontation with world-dissolving time<br>• Maintaining truth through cosmic dissolution,• Final battle with Angra Mainyu<br>• Supporting Saoshyant in world renewal<br>• Trial of cosmic fire (molten metal ordeal)<br>• Separation of good from evil at world's end,• Eschatological return during cosmic dissolution<br>• Final bull sacrifice at end of all cycles<br>• Confrontation with ultimate time/death<br>• Leading worthy souls through final cosmos,• Descent from Tuṣita to polluted earth<br>• Confrontation with degenerate beings<br>• Final battle with Māra's forces<br>• Demonstration of truth to skeptical world,• Establishing dharma in age of five degenerations<br>• Converting skeptical beings<br>• Restoring true teaching after decline<br>• Final victory over cosmic ignorance,• Confronting corrupt political systems<br>• Overcoming cultural decline<br>• Revealing true identity to doubting world<br>• Separating true followers from false,• Breaking seven cosmic seals<br>• Opening gates between worlds<br>• Gathering scattered divine sparks<br>• Confronting cosmic demiurge,
Promised Return/Advent,• Return at cosmic renewal phase<br>• Appearance during sacrifice<br>• Present at world transitions<br>• Manifests when truth is threatened,• Return with Saoshyant at frashkart (renewal)<br>• Advent at final cosmic battle<br>• Appearance at world judgment<br>• Return when cosmic order is threatened,• Second coming at end of current age<br>• Return during cosmic cataclysm<br>• Advent during celestial alignment<br>• Final revelation to all worthy initiates,"• Birth in Ketumati (future Varanasi)<br>• Appearance when human lifespan reaches 80,000 years<br>• Descent under nāga tree<br>• Advent after 5,670,000,000 years",• Arrival after complete dharma decline<br>• Appearance when suffering reaches peak<br>• Descent with celestial retinue<br>• Three great teaching assemblies,• Manifestation during political turbulence<br>• Advent in pure buddha-land on earth<br>• Appearance as imperial savior/revolutionary<br>• Return at cosmic cycle completion,• Return riding white horse/elephant<br>• Advent during celestial conjunction<br>• Appearance after seven signs fulfilled<br>• Birth from virgin/divine mother,
Final Achievement,• Establishment of perfect cosmic order<br>• Universal friendship among all beings<br>• Perfect harmony between worlds<br>• Eternal covenant with humanity,• Support of Saoshyant's world renewal<br>• Universal judgment of all souls<br>• Creation of perfect mountain paradise<br>• Eternal victory over evil,• Liberation of all worthy initiates<br>• Universal cosmic harmony<br>• Transcendence of all initiates beyond time<br>• Perfect celestial order,"• Perfect enlightenment under nāga tree<br>• Dharma teaching to three great assemblies<br>• Establishment of dharma for 60,000 years<br>• Liberation of countless beings",• Creation of perfect buddha-field<br>• Liberation of all beings in three assemblies<br>• Restoration of perfect dharma<br>• Final demonstration of emptiness,• Unification of imperial and spiritual authority<br>• Cultural golden age<br>• Perfect harmony between humans and deities<br>• Establishment of pure land on earth,• Cosmic marriage of opposing forces<br>• Healing of divine-human separation<br>• Restoration of primordial unity<br>• Transcendence of cosmos beyond time,
